"Ref Name","Component","Center X","Center Y","Rotation"
-------------------------------------------------------
"J1","20020110-D021A01LF","7801.0","11824.2","0.00"
"J3","20020110-D021A01LF","8226.0","11824.2","0.00"
"J4","20020110-D021A01LF","8651.0","11824.2","0.00"
"J5","20020110-D021A01LF","9076.0","11824.2","0.00"
"J6","20020110-D021A01LF","9601.0","11824.2","0.00"
"J7","20020110-D021A01LF","10026.0","11824.2","0.00"
"J8","20020110-D021A01LF","10451.0","11824.2","0.00"
"J9","20020110-D021A01LF","10876.0","11824.2","0.00"
"J10","20020110-D021A01LF","11301.0","11824.2","0.00"
"J11","20020110-D021A01LF","11726.0","11824.2","0.00"
"J12","20020110-D021A01LF","12151.0","11824.2","0.00"
"J13","20020110-D021A01LF","12576.0","11824.2","0.00"
"U3","AD5764RBSUZ","8475.2","10707.3","90.00"
"U8","AD7606BSTZ","10976.4","10787.4","0.00"
"U9","ADP3338","11083.2","8736.4","0.00"
"C1","Capacitor","7690.0","11405.7","0.00"
"C2","Capacitor","7690.0","11235.7","180.00"
"C3","Capacitor","7855.0","8950.0","180.00"
"C4","Capacitor","7855.0","8440.0","0.00"
"C5","Capacitor","7990.0","11405.7","0.00"
"C6","Capacitor","7990.0","11235.7","180.00"
"C7","Capacitor","7945.0","8950.0","180.00"
"C8","Capacitor","7945.0","8440.0","0.00"
"C9","Capacitor","8065.0","10955.0","90.00"
"C10","Capacitor","8065.0","10875.0","90.00"
"C11","Capacitor","8065.0","10795.0","90.00"
"C12","Capacitor","8065.0","10715.0","90.00"
"C13","Capacitor","8065.0","10635.0","90.00"
"C14","Capacitor","8105.0","11405.7","0.00"
"C15","Capacitor","8105.0","11235.7","180.00"
"C16","Capacitor","8405.0","11405.7","0.00"
"C17","Capacitor","8405.0","11235.7","180.00"
"C18","Capacitor","8520.0","11405.7","0.00"
"C19","Capacitor","8520.0","11235.7","180.00"
"C20","Capacitor","8820.0","11405.7","0.00"
"C21","Capacitor","8820.0","11235.7","180.00"
"C22","Capacitor","8860.0","10875.0","270.00"
"C23","Capacitor","8860.0","10795.0","270.00"
"C24","Capacitor","8860.0","10715.0","270.00"
"C25","Capacitor","8860.0","10635.0","270.00"
"C26","Capacitor","8860.0","10500.0","270.00"
"C27","Capacitor","8860.0","10420.0","270.00"
"C28","Capacitor","8935.0","11405.7","0.00"
"C29","Capacitor","8935.0","11235.7","180.00"
"C30","Capacitor","9235.0","11405.7","0.00"
"C31","Capacitor","9235.0","11235.7","180.00"
"C32","Capacitor","9918.1","8440.4","0.00"
"C33","Capacitor","10004.2","8440.4","0.00"
"C34","Capacitor","10322.5","11015.1","90.00"
