"Ref Name","Component","Center X","Center Y","Rotation"
-------------------------------------------------------
"J4","20020110-D021A01LF","12576.0","11811.7","0.00"
"J6","20020110-D031A01LF","10089.3","11809.3","0.00"
"J7","20020110-D031A01LF","10752.0","11810.7","0.00"
"J3","20020110-D061A01LF","11676.0","11811.7","0.00"
"J2","Battery holder - CR2032","11727.5","10235.1","0.00"
"C1","Capacitor","9235.4","9718.4","180.00"
"C2","Capacitor","8706.3","10865.4","90.00"
"C3","Capacitor","9150.0","10912.5","180.00"
"C4","Capacitor","9099.4","8884.7","180.00"
"C5","Capacitor","9750.9","9074.4","0.00"
"C6","Capacitor","9752.1","8881.0","180.00"
"C7","Capacitor","11382.0","10890.3","0.00"
"C8","Capacitor","12104.7","10895.3","0.00"
"C9","Capacitor","11861.3","10894.1","0.00"
"C10","Capacitor","11624.2","10890.3","0.00"
"C11","Capacitor","11217.3","11353.3","0.00"
"C12","Capacitor","11697.8","11353.3","0.00"
"C13","Capacitor","11456.9","11353.3","0.00"
"C14","Capacitor","11938.7","11353.3","0.00"
"C15","Capacitor","10325.0","10081.6","0.00"
"C16","Capacitor","11217.3","8373.0","90.00"
"C17","Capacitor","11217.3","8198.0","90.00"
"C18","Capacitor","11776.3","8663.9","180.00"
"C19","Capacitor","11559.1","8257.0","180.00"
"C20","Capacitor","11776.3","8483.9","0.00"
"C21","Capacitor","11317.1","8552.8","180.00"
"C22","Capacitor","11271.3","8683.9","90.00"
"C23","Capacitor","11081.9","8530.3","90.00"
"C25","Capacitor","10166.5","8730.0","180.00"
"C24","Capacitor Polarised","10369.1","8727.7","90.00"
"U2","CAT24C32","8935.3","10650.0","0.00"
"PL1","CONN_SIL_2","7274.8","11540.5","0.00"
"D2","Diode","12604.9","10901.6","180.00"
"D1","Diode Schottky dual","11427.6","8958.9","90.00"
"FS2","Fuse SMT - C1Q 1A","11367.1","11614.2","90.00"
"FS3","Fuse SMT - C1Q 3A","10030.4","8728.7","0.00"
"FS1","Fuse SMT - C1Q 7A","12502.8","11541.8","180.00"
"U5","HCPL-0701-500E","11295.6","11139.9","180.00"
"U6","HCPL-0701-500E","11536.5","11139.9","180.00"
"U7","HCPL-0701-500E","11776.1","11139.9","180.00"
"U8","HCPL-0701-500E","12015.7","11139.9","180.00"
"L1","Inductor","10781.8","8876.0","180.00"
"D3","LED","7198.8","11815.9","90.00"
"U9","LM5576MHX/NOPB","11524.0","8563.3","0.00"
"U3","PCF2127AT","8686.9","9118.5","180.00"
"RL1","Relay SPDT - G2RL-14 DC5","10079.3","11035.1","90.00"
"RL2","Relay SPDT - G2RL-14 DC5","10739.5","11036.5","90.00"
"R1","Resistor","8850.0","10912.5","180.00"
"R2","Resistor","8950.0","10912.5","180.00"
"R3","Resistor","9050.0","10912.5","180.00"
"R4","Resistor","9008.3","9355.2","180.00"
"R5","Resistor","8999.4","8972.2","0.00"
"R6","Resistor","11353.3","11320.9","90.00"
"R7","Resistor","11594.2","11320.9","90.00"
"R8","Resistor","11256.0","10890.3","180.00"
"R9","Resistor","11496.9","10890.3","180.00"
"R10","Resistor","11353.3","11388.3","270.00"
"R11","Resistor","11594.2","11388.3","270.00"
"R12","Resistor","11833.8","11320.9","90.00"
"R13","Resistor","11732.7","10894.1","180.00"
"R14","Resistor","11972.4","10895.3","180.00"
"R15","Resistor","12073.5","11320.9","90.00"
"R16","Resistor","11833.8","11388.3","270.00"
"R17","Resistor","12073.5","11388.3","270.00"
"R18","Resistor","9750.9","9270.4","0.00"
"R19","Resistor","9327.8","9717.2","0.00"
"R20","Resistor","11646.6","8257.0","180.00"
"R21","Resistor","11876.3","8483.9","0.00"
"R22","Resistor","10820.6","8530.3","0.00"
"R23","Resistor","11883.8","8886.4","270.00"
"R24","Resistor","12076.0","8886.0","270.00"
"R25","Resistor","7273.5","11722.8","270.00"
"R26","Resistor","11319.6","10890.3","180.00"
"R27","Resistor","11560.5","10890.3","180.00"
"R28","Resistor","11797.6","10894.1","180.00"
"R29","Resistor","12038.5","10895.3","180.00"
"U1","RPI B+ (FLIP)","8573.5","10269.7","90.00"
"J1","Tio TOP backplane connector","12625.4","9737.0","90.00"
"U4","ULN2803AFWG","10061.3","10161.6","0.00"
-------------------------------------------------------
