"Ref Name","Component","Center X","Center Y","Rotation"
-------------------------------------------------------
"U5","AD9854ASTZ","8374.9","9623.1","90.00"
"U3","ADP3338","7890.6","8455.0","0.00"
"U6","ADP3338","8889.6","8459.5","0.00"
"C1","Capacitor","7380.0","8985.0","270.00"
"C2","Capacitor","7582.5","10829.6","180.00"
"C3","Capacitor","7582.5","10657.4","180.00"
"C4","Capacitor","7582.5","10483.9","180.00"
"C5","Capacitor","7585.0","8285.0","180.00"
"C6","Capacitor","7605.0","11385.0","180.00"
"C7","Capacitor","7627.5","11046.8","90.00"
"C8","Capacitor","7630.0","9820.0","90.00"
"C9","Capacitor","7675.0","8285.0","180.00"
"C10","Capacitor","7715.1","11475.0","0.00"
"C11","Capacitor","7792.2","10875.8","270.00"
"C12","Capacitor","7792.2","10733.5","270.00"
"C13","Capacitor","7792.2","10587.5","270.00"
"C14","Capacitor","7792.2","10437.7","270.00"
"C15","Capacitor","7787.5","10160.0","180.00"
"C16","Capacitor","7837.1","11001.9","180.00"
"C17","Capacitor","7890.0","9840.0","90.00"
"C18","Capacitor","7890.0","9760.0","90.00"
"C19","Capacitor","7919.5","11001.9","180.00"
"C20","Capacitor","7970.0","10100.0","270.00"
"C21","Capacitor","7920.0","9940.0","90.00"
"C22","Capacitor","7965.0","9500.0","180.00"
"C23","Capacitor","7965.0","9325.0","180.00"
"C24","Capacitor","8161.5","11389.8","180.00"
"C25","Capacitor","8182.7","11049.1","90.00"
"C26","Capacitor","8137.8","10829.4","180.00"
"C27","Capacitor","8137.8","10655.9","180.00"
"C28","Capacitor","8137.8","10483.7","180.00"
"C29","Capacitor","8100.0","8285.0","180.00"
"C30","Capacitor","8190.0","8285.0","180.00"
"C31","Capacitor","8266.4","11475.0","0.00"
"C32","Capacitor","8392.4","11004.1","180.00"
"C33","Capacitor","8349.9","10876.8","270.00"
"C34","Capacitor","8349.9","10734.5","270.00"
"C35","Capacitor","8349.9","10586.0","270.00"
"C36","Capacitor","8349.9","10437.5","270.00"
"C37","Capacitor","8387.5","10145.0","0.00"
"C38","Capacitor","8300.0","9215.0","90.00"
"C39","Capacitor","8474.7","11004.1","180.00"
