"Ref Name","Component","Center X","Center Y","Rotation"
-------------------------------------------------------
"J6","20020110-D021A01LF","5676.0","3819.2","0.00"
"J1","20020110-D081A01LF","676.0","3819.2","0.00"
"J3","20020110-D081A01LF","1976.0","3819.2","0.00"
"J4","20020110-D081A01LF","3376.0","3819.2","0.00"
"J5","20020110-D081A01LF","4676.0","3819.2","0.00"
"U34","ADP3338","4714.5","470.7","0.00"
"C1","Capacitor","592.5","3197.5","90.00"
"C2","Capacitor","592.5","2947.5","90.00"
"C3","Capacitor","592.5","2697.5","90.00"
"C4","Capacitor","592.5","2447.5","90.00"
"C5","Capacitor","592.5","2197.5","90.00"
"C6","Capacitor","592.5","1947.5","90.00"
"C7","Capacitor","592.5","1697.5","90.00"
"C8","Capacitor","592.5","1447.5","90.00"
"C9","Capacitor","1030.0","3197.5","270.00"
"C10","Capacitor","1030.0","2960.0","270.00"
"C11","Capacitor","1030.0","2710.0","270.00"
"C12","Capacitor","1030.0","2460.0","270.00"
"C13","Capacitor","1030.0","2210.0","270.00"
"C14","Capacitor","1030.0","1960.0","270.00"
"C15","Capacitor","1030.0","1710.0","270.00"
"C16","Capacitor","1030.0","1460.0","270.00"
"C17","Capacitor","1612.5","3022.5","90.00"
"C18","Capacitor","1612.5","2772.5","90.00"
"C19","Capacitor","1600.0","2522.5","90.00"
"C20","Capacitor","1600.0","2272.5","90.00"
"C21","Capacitor","1600.0","2022.5","90.00"
"C22","Capacitor","1600.0","1772.5","90.00"
"C23","Capacitor","1600.0","1522.5","90.00"
"C24","Capacitor","1600.0","1272.5","90.00"
"C25","Capacitor","2050.0","3035.0","270.00"
"C26","Capacitor","2050.0","2785.0","270.00"
"C27","Capacitor","2037.5","2535.0","270.00"
"C28","Capacitor","2037.5","2285.0","270.00"
"C29","Capacitor","2037.5","2035.0","270.00"
"C30","Capacitor","2037.5","1785.0","270.00"
"C31","Capacitor","2037.5","1535.0","270.00"
"C32","Capacitor","2037.5","1285.0","270.00"
"C33","Capacitor","2050.0","295.0","0.00"
"C34","Capacitor","2145.0","295.0","0.00"
"C35","Capacitor","3712.9","3186.2","90.00"
"C36","Capacitor","3712.9","2941.6","90.00"
"C37","Capacitor","3712.9","2703.2","90.00"
"C38","Capacitor","3712.9","2461.1","90.00"
